,ProductID,X,Y,Stock,ProductName,Category,Gender,ProductLine,Weight,Size,PackSize,ProductType
0,6,0,0,296.0,3-BX34,Boxers,Boys' Briefs,Underwear,55,M,Single Unit,BX34
1,7,0,1,2.0,3-BX64,Boxers,Boys' Briefs,Underwear,55,M,Single Unit,BX64
2,1034,0,2,313.0,L-BX46A,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX46A
3,3614,0,3,20.0,2-BX46SL,Boxers,Boys' Briefs,Underwear,55,S,Single Unit,BX46SL
4,3615,0,4,8.0,3-BX46SL,Boxers,Boys' Briefs,Underwear,65,M,Single Unit,BX46SL
5,3616,0,5,10.0,S-BX93CB,Boxers,Men's Briefs,Underwear,70,S,Single Unit,BX93CB
6,3617,0,6,11.0,M-BX93CB,Boxers,Men's Briefs,Underwear,80,M,Single Unit,BX93CB
7,3618,0,7,10.0,L-BX93CB,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX93CB
8,4180,0,8,80.0,L-BX34F,Boxers,Men's Briefs,Underwear,90,L,Dozen,BX34F
9,4140,0,9,110.0,L-BX4668A,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX4668A
10,4141,0,10,110.0,M-BX4668A,Boxers,Men's Briefs,Underwear,65,M,Single Unit,BX4668A
11,4142,0,11,110.0,XL-BX4668A,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX4668A
12,4143,0,12,10.0,L-BX4668SA,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX4668SA
13,4144,0,13,1.0,XL-BX4668SA,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX4668SA
14,4145,0,14,113.0,L-BX4668CA,Boxers,Women's Panties,Underwear,80,L,Single Unit,BX4668CA
15,4146,0,15,110.0,M-BX4668CA,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX4668CA
16,4147,0,16,110.0,XL-BX4668CA,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX4668CA
17,4148,0,17,110.0,L-BX4668KA,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX4668KA
18,4149,0,18,110.0,XL-BX4668KA,Boxers,Men's Briefs,Underwear,85,XL,Dozen,BX4668KA
19,1078,0,19,436.0,3-BX64P,Boxers,Boys' Briefs,Underwear,55,M,Single Unit,BX64P
20,1079,0,20,89.0,2-BX64P,Boxers,Boys' Briefs,Underwear,47,S,Single Unit,BX64P
21,1080,0,21,278.0,L-BX171,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX171
22,4150,0,22,120.0,L-BX46E,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX46E
23,4151,0,23,120.0,M-BX46E,Boxers,Men's Briefs,Underwear,65,M,Single Unit,BX46E
24,4152,0,24,120.0,XL-BX46E,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX46E
25,4153,0,25,110.0,L-BX46CE,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX46CE
26,1597,0,26,128.0,3-BX34A,Boxers,Boys' Briefs,Underwear,55,M,Single Unit,BX34A
27,4154,0,27,110.0,M-BX46CE,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX46CE
28,4155,0,28,110.0,XL-BX46CE,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46CE
29,4156,0,29,1.0,L-BX46SE,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX46SE
30,4157,0,30,1.0,M-BX46SE,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX46SE
31,2114,0,31,36.0,S-BX46D,Boxers,Men's Briefs,Underwear,69,S,Single Unit,BX46D
32,4158,0,32,10.0,XL-BX46SE,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX46SE
33,68,0,33,0.0,2-BX34,Boxers,Boys' Briefs,Underwear,51,S,Single Unit,BX34
34,69,0,34,359.0,2-BX64,Boxers,Boys' Briefs,Underwear,47,S,Single Unit,BX64
35,4159,0,35,120.0,L-BX46KE,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX46KE
36,4160,0,36,120.0,M-BX46KE,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX46KE
37,4161,0,37,120.0,XL-BX46KE,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46KE
38,4162,0,38,2.0,L-BX46K,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX46K
39,4163,0,39,30.0,M-BX46K,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX46K
40,4164,0,40,30.0,XL-BX46K,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46K
41,4165,0,41,1.0,L-BX46SK,Boxers,Men's Briefs,Underwear,90,L,Single Unit,BX46SK
42,4166,0,42,30.0,M-BX46SK,Boxers,Men's Briefs,Underwear,85,M,Single Unit,BX46SK
43,4167,0,43,30.0,XL-BX46SK,Boxers,Men's Briefs,Underwear,95,XL,Single Unit,BX46SK
44,4187,0,44,96.0,S-BX46CH,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX46CH
45,4188,0,45,99.0,M-BX46CH,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX46CH
46,4178,0,46,90.0,S-BX34F,Boxers,Men's Briefs,Underwear,75,S,Single Unit,BX34F
47,1108,0,47,1.0,S-BX34D,Boxers,Men's Briefs,Underwear,54,S,Single Unit,BX34D
48,1109,0,48,11.0,M-BX34D,Boxers,Men's Briefs,Underwear,65,M,Single Unit,BX34D
49,1110,0,49,2.0,L-BX34D,Boxers,Men's Briefs,Underwear,68,L,Single Unit,BX34D
50,1111,0,50,1.0,XL-BX34D,Boxers,Men's Briefs,Underwear,80,XL,Single Unit,BX34D
51,1112,0,51,11.0,S-BX46344,Boxers,Men's Briefs,Underwear,59,S,Single Unit,BX46344
52,1113,0,52,7.0,S-BX46345,Boxers,Men's Briefs,Underwear,72,S,Single Unit,BX46345
53,1114,0,53,6.0,M-BX46345,Boxers,Men's Briefs,Underwear,79,M,Single Unit,BX46345
54,1115,0,54,1.0,L-BX46345,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX46345
55,1116,0,55,292.0,XL-BX46345,Boxers,Men's Briefs,Underwear,94,XL,Single Unit,BX46345
56,1117,0,56,115.0,S-BX46CC,Boxers,Men's Briefs,Underwear,68,S,Single Unit,BX46CC
57,1118,0,57,105.0,M-BX46CC,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX46CC
58,1119,0,58,101.0,L-BX46CC,Boxers,Men's Briefs,Underwear,81,L,Single Unit,BX46CC
59,1120,0,59,117.0,XL-BX46CC,Boxers,Men's Briefs,Underwear,94,XL,Single Unit,BX46CC
60,2136,0,60,29.0,M-BX46D,Boxers,Men's Briefs,Underwear,77,M,Single Unit,BX46D
61,2137,0,61,17.0,L-BX46D,Boxers,Men's Briefs,Underwear,84,L,Single Unit,BX46D
62,1635,0,62,5.0,L-BX60S2,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX60S2
63,2142,0,63,30.0,XXL-BX46A,Boxers,Men's Briefs,Underwear,96,XXL,Single Unit,BX46A
64,2143,0,64,30.0,XXL-BX46SA,Boxers,Men's Briefs,Underwear,95,XXL,Single Unit,BX46SA
65,3172,0,65,15.0,S-BX9AT3KA,Boxers,Men's Briefs,Underwear,70,S,Single Unit,BX9AT3KA
66,3173,0,66,10.0,M-BX9AT3KA,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX9AT3KA
67,3174,0,67,30.0,S-BX93SA,Boxers,Men's Briefs,Underwear,70,S,Single Unit,BX93SA
68,3175,0,68,6.0,M-BX93SA,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX93SA
69,3176,0,69,11.0,L-BX93SA,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX93SA
70,3177,0,70,40.0,XL-BX93SA,Boxers,Men's Briefs,Underwear,95,XL,Single Unit,BX93SA
71,4193,0,71,89.0,L-BX46SH,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX46SH
72,4197,0,72,90.0,L-BX46KH,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX46KH
73,4194,0,73,79.0,XL-BX46SH,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46SH
74,4198,0,74,70.0,XL-BX46KH,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX46KH
75,4209,0,75,80.0,S-BX34C,Boxers,Men's Briefs,Underwear,65,S,Dozen,BX34C
76,4210,0,76,100.0,XXL-BX34C,Boxers,Men's Briefs,Underwear,100,XXL,Single Unit,BX34C
77,4195,0,77,90.0,S-BX46KH,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX46KH
78,1665,0,78,56.0,2-BX34A,Boxers,Boys' Briefs,Underwear,47,S,Single Unit,BX34A
79,1160,0,79,38.0,S-BX46C,Boxers,Men's Briefs,Underwear,63,S,Single Unit,BX46C
80,4243,0,80,90.0,S-BX4668CA,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX4668CA
81,151,0,81,500.0,L-BX172,Boxers,Men's Briefs,Underwear,70,L,Single Unit,BX172
82,665,0,82,258.0,S-BX172,Boxers,Men's Briefs,Underwear,57,S,Single Unit,BX172
83,153,0,83,1.0,L-BX17S2,Boxers,Men's Briefs,Underwear,66,L,Single Unit,BX17S2
84,154,0,84,1.0,L-BX17Y1,Boxers,Men's Briefs,Underwear,66,L,Single Unit,BX17Y1
85,155,0,85,4126.0,L-BX34A,Boxers,Men's Briefs,Underwear,88,L,Single Unit,BX34A
86,156,0,86,172.0,L-BX34B,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX34B
87,157,0,87,101.0,L-BX34C,Boxers,Men's Briefs,Underwear,79,L,Single Unit,BX34C
88,158,0,88,1.0,L-BX46B,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX46B
89,159,0,89,142.0,L-BX46C,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX46C
90,160,0,90,2.0,L-BX46CB,Boxers,Men's Briefs,Underwear,90,L,Single Unit,BX46CB
91,161,0,91,1.0,L-BX46SA,Boxers,Men's Briefs,Underwear,84,L,Single Unit,BX46SA
92,162,0,92,251.0,L-BX46SC,Boxers,Men's Briefs,Underwear,83,L,Single Unit,BX46SC
93,163,0,93,2.0,L-BX64P,Boxers,Men's Briefs,Underwear,90,L,Single Unit,BX64P
94,164,0,94,1034.0,L-BX61A,Boxers,Men's Briefs,Underwear,70,L,Single Unit,BX61A
95,669,0,95,472.0,S-BX34A,Boxers,Men's Briefs,Underwear,76,S,Single Unit,BX34A
96,670,0,96,58.0,S-BX34B,Boxers,Men's Briefs,Underwear,63,S,Single Unit,BX34B
97,671,0,97,254.0,S-BX46A,Boxers,Men's Briefs,Underwear,68,S,Single Unit,BX46A
98,672,0,98,3.0,S-BX46B,Boxers,Men's Briefs,Underwear,63,S,Single Unit,BX46B
99,673,0,99,1.0,S-BX46CA,Boxers,Men's Briefs,Underwear,75,S,Single Unit,BX46CA
100,675,0,100,1.0,S-BX46SA,Boxers,Men's Briefs,Underwear,72,S,Single Unit,BX46SA
101,676,0,101,7.0,S-BX46SC,Boxers,Men's Briefs,Underwear,64,S,Single Unit,BX46SC
102,1704,0,102,28.0,S-BX60S2,Boxers,Men's Briefs,Underwear,52,S,Single Unit,BX60S2
103,1705,0,103,7.0,M-BX60S2,Boxers,Men's Briefs,Underwear,60,M,Single Unit,BX60S2
104,1706,0,104,7.0,XL-BX60S2,Boxers,Men's Briefs,Underwear,73,XL,Single Unit,BX60S2
105,3241,0,105,25.0,2-BX46D,Boxers,Boys' Briefs,Underwear,45,S,Single Unit,BX46D
106,3247,0,106,20.0,3-BX46D,Boxers,Boys' Briefs,Underwear,50,M,Single Unit,BX46D
107,4273,0,107,90.0,XL-BX46F,Boxers,Women's Panties,Underwear,85,XL,Dozen,BX46F
108,4274,0,108,80.0,XXL-BX46F,Boxers,Men's Briefs,Underwear,90,XXL,Dozen,BX46F
109,4276,0,109,81.0,M-BX46SF,Boxers,Men's Briefs,Underwear,80,M,Single Unit,BX46SF
110,4277,0,110,29.0,XL-BX46SF,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46SF
111,4278,0,111,13.0,XXL-BX46SF,Boxers,Men's Briefs,Underwear,105,XXL,Single Unit,BX46SF
112,1208,0,112,6.0,L-BX331,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX331
113,1209,0,113,8.0,XL-BX331,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX331
114,1210,0,114,7.0,XXL-BX331,Boxers,Men's Briefs,Underwear,91,XXL,Single Unit,BX331
115,3260,0,115,50.0,L-BX93SB,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX93SB
116,4190,0,116,70.0,XL-BX46CH,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX46CH
117,2252,0,117,40.0,XXL-BX46CA,Boxers,Men's Briefs,Underwear,102,XXL,Single Unit,BX46CA
118,3291,0,118,20.0,M-BX93SB,Boxers,Men's Briefs,Underwear,80,M,Single Unit,BX93SB
119,4181,0,119,19.0,XL-BX34F,Boxers,Women's Panties,Underwear,95,XL,Single Unit,BX34F
120,3313,0,120,21.0,S-BX93SB,Boxers,Men's Briefs,Underwear,70,S,Single Unit,BX93SB
121,4342,0,121,30.0,M-BX46KK,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX46KK
122,4343,0,122,30.0,L-BX46KK,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX46KK
